date,arrivals_canary,canary_wave_u,canary_wave_v,canary_swell_wave_u,canary_swell_wave_v,canary_wind_10m_u,canary_wind_10m_v,canary_ocean_current_u,canary_ocean_current_v,canary_wave_period,canary_swell_wave_period,canary_sst_temperature,canary_precipitation,canary_pressure_msl,canary_cloud_cover
2017-01-31,14,,,,,11.702758821259431,8.520303283131174,,,,,,0.7000000000000001,1021.1475806451614,38.09274193548387
2017-02-28,60,,,,,3.7964878161838618,17.856478203004997,,,,,,6.6000000000000005,1019.7284226190476,28.482142857142858
2017-03-31,0,,,,,9.44168494437903,22.623278185021665,,,,,,3.6999999999999997,1018.484811827957,35.77150537634409
2017-04-30,39,,,,,1.8709872724331549,13.857799420137695,,,,,,0.4,1014.9481944444444,30.004166666666666
2017-05-31,0,,,,,1.402172285000273,19.88091619900255,,,,,,0.0,1015.783064516129,44.04704301075269
2017-06-30,0,,,,,2.849824333281804,26.66067631293269,,,,,,0.0,1015.3545833333334,32.56944444444444
2017-07-31,0,,,,,3.871605629384184,30.000028465666492,,,,,,0.0,1015.6981182795699,22.38037634408602
2017-08-31,24,,,,,4.200789686474474,26.189301150762457,,,,,,0.0,1014.1541666666666,18.219086021505376
2017-09-30,0,,,,,8.496514062673977,22.432415129632805,,,,,,0.0,1016.7173611111111,35.06805555555555
2017-10-31,118,,,,,8.748115194899642,13.409449724655722,,,,,,0.1,1017.4760752688171,36.4744623655914
2017-11-30,148,,,,,10.360227810482504,8.021767203699984,,,,,,0.1,1016.5636111111112,46.391666666666666
2017-12-31,15,,,,,17.875435233661932,16.139128633722883,,,,,,4.3,1024.0274193548387,34.93817204301075
2018-01-31,20,,,,,9.877392993470139,24.86261268555246,,,,,,9.1,1023.0184139784946,35.318548387096776
2018-02-28,35,,,,,2.056792043006498,15.239083198775408,,,,,,22.5,1016.9029761904762,41.861607142857146
2018-03-31,16,,,,,2.07879041104207,15.428436543549255,,,,,,0.5,1018.5916666666666,30.327956989247312
2018-04-30,34,,,,,0.8497330314170297,26.148210076671543,,,,,,0.1,1017.7945833333333,32.88611111111111
2018-05-31,16,,,,,2.2616733552675243,25.11690748119358,,,,,,0.6000000000000001,1017.5567204301075,36.76209677419355
2018-06-30,300,,,,,5.06980319290921,23.098838297777807,,,,,,0.0,1018.4865277777778,36.416666666666664
2018-07-31,33,,,,,8.978103509351463,29.258157819165564,,,,,,0.0,1016.751747311828,17.943548387096776
2018-08-31,42,,,,,4.609464631198419,26.078346370651282,,,,,,0.0,1014.817876344086,22.420698924731184
2018-09-30,106,,,,,8.484399799491602,21.016003853634093,,,,,,0.0,1016.185,25.520833333333332
2018-10-31,613,,,,,2.331541928589128,11.56923912629234,,,,,,14.1,1015.7467741935484,37.16532258064516
2018-11-30,63,,,,,4.056657836324839,15.526222211128394,,,,,,9.4,1017.9776388888889,37.8875
2018-12-31,27,,,,,17.842392542830467,10.728155755549645,,,,,,0.0,1022.413440860215,23.974462365591396
2019-01-31,40,,,,,13.959721285831598,15.52882338308195,,,,,,1.5,1022.2150537634409,42.84274193548387
2019-02-28,44,,,,,13.164199578295387,13.271598071187151,,,,,,0.6000000000000001,1021.360119047619,19.080357142857142
2019-03-31,95,,,,,6.233201996390026,19.48458399431311,,,,,,1.8,1019.2407258064516,32.32258064516129
2019-04-30,55,,,,,0.5433974917836099,23.32180936192615,,,,,,1.1,1016.8101388888889,37.88472222222222
2019-05-31,138,,,,,2.5851588333053552,26.4196883876321,,,,,,0.0,1015.0698924731183,36.14247311827957
2019-06-30,83,,,,,2.5376032090687994,21.548107903280645,,,,,,0.0,1017.6394444444445,27.788888888888888
2019-07-31,0,,,,,7.104396265432456,29.173438422730474,,,,,,0.0,1016.1809139784946,30.732526881720432
2019-08-31,134,,,,,7.107849528546586,28.011553804136245,,,,,,0.0,1014.867876344086,21.321236559139784
2019-09-30,386,,,,,8.196472005197968,22.42233038753879,,,,,,0.0,1016.7381944444444,28.804166666666667
2019-10-31,495,,,,,11.554718283696722,19.19531464739372,,,,,,1.7,1017.2946236559139,35.35618279569893
2019-11-30,517,,,,,11.859517640126885,23.936150781098302,,,,,,0.1,1018.4818055555556,37.925
2019-12-31,711,,,,,10.19629098105873,14.997039362447659,,,,,,5.4,1020.7177419354839,27.557795698924732
2020-01-31,711,,,,,14.701216106026827,11.369937349856524,,,,,,0.8,1024.008064516129,29.901881720430108
2020-02-29,470,,,,,16.473663428987496,16.229090646886835,,,,,,0.0,1022.1143678160919,29.738505747126435
2020-03-31,445,,,,,4.606611067751064,21.671121653410555,,,,,,5.8,1018.2604838709678,31.967741935483872
2020-04-30,329,,,,,1.9328839418907806,17.164480077990845,,,,,,1.2000000000000002,1017.6431944444444,30.925
2020-05-31,598,,,,,1.8137709032685418,22.336715106874582,,,,,,0.2,1017.3184139784946,24.861559139784948
2020-06-30,223,,,,,6.687453587259767,16.962797487499156,,,,,,0.2,1017.7856944444444,34.16111111111111
2020-07-31,453,,,,,6.048556250307692,31.38666725032016,,,,,,0.0,1013.8938172043011,22.891129032258064
2020-08-31,787,,,,,7.134020449804535,30.167586708759593,,,,,,0.0,1013.9549731182796,22.291666666666668
2020-09-30,2199,,,,,8.510493535374927,22.01922565100705,,,,,,0.0,1015.7451388888888,37.74722222222222
2020-10-31,5359,,,,,11.680042394683865,17.208849130846872,,,,,,3.6,1018.1345430107526,36.836021505376344
2020-11-30,7992,,,,,7.342383577543521,9.837133915916395,,,,,,6.9,1018.4611111111111,43.3125
