date,arrivals_mainland_sea,mainland_wave_u,mainland_wave_v,mainland_swell_wave_u,mainland_swell_wave_v,mainland_wind_10m_u,mainland_wind_10m_v,mainland_ocean_current_u,mainland_ocean_current_v,mainland_wave_period,mainland_swell_wave_period,mainland_sst_temperature,mainland_precipitation,mainland_pressure_msl,mainland_cloud_cover
2017-01-31,1035,,,,,-1.6766795927405227,0.4042316752927285,,,,,,52.0,1021.9225806451614,37.53225806451613
2017-02-28,475,,,,,1.8829004745308502,-2.3311433026795196,,,,,,117.9,1019.4561011904761,58.232142857142854
2017-03-31,842,,,,,1.3531053485520868,-1.465571170631312,,,,,,39.9,1019.5912634408603,39.11693548387097
2017-04-30,861,,,,,14.945695085013284,-0.5384759892450242,,,,,,81.7,1016.9830555555557,50.168055555555554
2017-05-31,835,,,,,6.9065158870748595,-0.014631494727341682,,,,,,12.5,1015.5895161290322,44.92338709677419
2017-06-30,2350,,,,,4.560695330975891,0.28100916152711,,,,,,0.6000000000000001,1015.0855555555555,19.309722222222224
2017-07-31,2162,,,,,0.39332171246134373,-0.7521818660132001,,,,,,1.6,1014.700806451613,13.166666666666666
2017-08-31,2231,,,,,9.087717546759302,0.33331016464464014,,,,,,16.7,1014.8329301075269,30.241935483870968
2017-09-30,1515,,,,,4.929728841804715,0.6986537329720618,,,,,,4.2,1016.8840277777778,29.334722222222222
2017-10-31,3469,,,,,15.93617117784559,1.679534737590155,,,,,,41.2,1020.1399193548386,33.59543010752688
2017-11-30,4017,,,,,6.706800031018493,0.3602030695469764,,,,,,35.8,1018.9809722222222,32.69722222222222
2017-12-31,1893,,,,,-0.3786185723387368,0.297666640999766,,,,,,41.8,1025.4373655913978,36.36693548387097
2018-01-31,1380,,,,,-3.152544448666898,-0.44952883303816366,,,,,,63.8,1023.2979838709676,44.18010752688172
2018-02-28,1067,,,,,-7.808720975078452,-0.8615216869426308,,,,,,37.7,1015.1866071428572,37.504464285714285
2018-03-31,867,,,,,-21.63445113361511,-4.940467539708357,,,,,,272.3,1013.6424731182796,60.056451612903224
2018-04-30,1208,,,,,-4.527193392345905,-1.5292271404482347,,,,,,80.0,1014.6118055555555,47.84722222222222
2018-05-31,3507,,,,,-3.0333587025905953,-0.5301976611765492,,,,,,7.7,1015.0711021505376,28.71505376344086
2018-06-30,6616,,,,,-8.068656159555983,-1.1939609106732294,,,,,,0.1,1015.7708333333334,24.5375
2018-07-31,8599,,,,,-12.417545804600921,-1.4022801492526815,,,,,,0.0,1015.8682795698925,8.470430107526882
2018-08-31,6364,,,,,9.154173217644447,0.3474100379538564,,,,,,0.0,1014.7587365591398,15.806451612903226
2018-09-30,8008,,,,,11.26858670054621,0.6742226665417294,,,,,,17.2,1017.1606944444444,36.87222222222222
2018-10-31,9630,,,,,1.9553196504694768,0.10110910741155993,,,,,,156.8,1014.2404569892474,48.88978494623656
2018-11-30,4959,,,,,-5.133478558028727,-2.474990033801449,,,,,,117.8,1016.4861111111111,54.43333333333333
2018-12-31,5059,,,,,5.264287705534713,0.1276722639187459,,,,,,18.6,1025.6861559139784,43.990591397849464
2019-01-31,4064,,,,,-8.307402612481823,0.35314659587489955,,,,,,25.3,1021.8684139784946,33.86424731182796
2019-02-28,892,,,,,10.891106207295204,-0.040290656636646986,,,,,,30.4,1024.501488095238,39.791666666666664
2019-03-31,474,,,,,13.410349233450864,-1.5014265302237684,,,,,,18.5,1021.560752688172,40.8494623655914
2019-04-30,1052,,,,,-7.693240609567831,-1.4902147009735531,,,,,,45.5,1014.4734722222222,41.69166666666667
2019-05-31,1177,,,,,1.332245095036014,0.6008363384443313,,,,,,0.0,1015.0008064516129,26.002688172043012
2019-06-30,2361,,,,,-5.0096173139275235,-0.5640267970794373,,,,,,0.4,1015.3983333333334,18.98472222222222
2019-07-31,2896,,,,,-7.746737772629302,-1.1473823350799377,,,,,,0.0,1014.0587365591397,17.202956989247312
2019-08-31,2178,,,,,1.4467048447507387,0.014884795421998763,,,,,,4.2,1014.925,17.52016129032258
2019-09-30,2734,,,,,5.022857739363531,-0.3389535246970262,,,,,,14.9,1016.5081944444445,37.97638888888889
2019-10-31,3014,,,,,-4.835784209299219,-0.6638581803543175,,,,,,8.7,1017.5325268817204,41.15725806451613
2019-11-30,1190,,,,,-19.163282769494394,-0.7387102598124496,,,,,,100.4,1016.73125,48.519444444444446
2019-12-31,1438,,,,,-1.0419885171882421,-2.183865408136711,,,,,,61.9,1020.5241935483871,59.93817204301075
2020-01-31,1151,,,,,2.727229717998229,-0.02289971610838556,,,,,,97.4,1025.2610215053762,47.899193548387096
2020-02-29,1239,,,,,6.079266576714567,-0.36743794711397065,,,,,,2.5,1025.8349137931034,41.168103448275865
2020-03-31,599,,,,,-0.009090081807705777,-1.1496102691970795,,,,,,108.5,1017.2862903225806,55.13575268817204
2020-04-30,82,,,,,3.5962766214234123,-1.8545828894773686,,,,,,63.9,1015.8815277777777,60.57083333333333
2020-05-31,647,,,,,4.316108590150874,-1.9300693020824353,,,,,,47.6,1016.4634408602151,42.094086021505376
2020-06-30,812,,,,,-10.345342608058756,-2.1713377917050725,,,,,,5.3,1016.1541666666667,19.940277777777776
2020-07-31,2047,,,,,9.10085541248673,0.0007840359298332924,,,,,,0.1,1014.4725806451613,11.286290322580646
2020-08-31,2107,,,,,-3.239686527295185,-0.8079123066563104,,,,,,0.6000000000000001,1013.8395161290322,12.471774193548388
2020-09-30,3061,,,,,8.642714835240191,0.8794155039499557,,,,,,27.6,1016.6536111111111,43.93472222222222
